year,commodity,area_harvested_ha,production_tonnes,yield_kg_per_ha,source
1978,Rice,24400.0,25700.0,1053.3,FAOSTAT
1979,Beans (dry),227000.0,182000.0,801.8,FAOSTAT
1979,Cassava,303000.0,1294000.0,4270.6,FAOSTAT
1979,Groundnuts,122000.0,80000.0,655.7,FAOSTAT
1979,Maize,272000.0,453000.0,1665.4,FAOSTAT
1979,Rice,12000.0,15000.0,1250.0,FAOSTAT
1980,Beans (dry),224000.0,133000.0,593.8,FAOSTAT
1980,Cassava,302000.0,2072000.0,6860.9,FAOSTAT
1980,Groundnuts,95000.0,70000.0,736.8,FAOSTAT
1980,Maize,258000.0,286000.0,1108.5,FAOSTAT
1980,Rice,11000.0,17000.0,1545.5,FAOSTAT
1981,Beans (dry),299000.0,240000.0,802.7,FAOSTAT
1981,Cassava,310000.0,3034000.0,9787.1,FAOSTAT
1981,Groundnuts,110000.0,90000.0,818.2,FAOSTAT
1981,Maize,260000.0,342000.0,1315.4,FAOSTAT
1981,Rice,12000.0,15000.0,1250.0,FAOSTAT
1982,Beans (dry),364000.0,237000.0,651.1,FAOSTAT
1982,Cassava,331000.0,3127000.0,9447.1,FAOSTAT
1982,Groundnuts,120000.0,90000.0,750.0,FAOSTAT
1982,Maize,285000.0,393000.0,1378.9,FAOSTAT
1982,Rice,15000.0,19000.0,1266.7,FAOSTAT
1983,Beans (dry),398000.0,314000.0,788.9,FAOSTAT
1983,Cassava,372000.0,3239000.0,8707.0,FAOSTAT
1983,Groundnuts,124000.0,99000.0,798.4,FAOSTAT
1983,Maize,295000.0,413000.0,1400.0,FAOSTAT
1983,Rice,17000.0,22000.0,1294.1,FAOSTAT
1984,Beans (dry),385000.0,295000.0,766.2,FAOSTAT
1984,Cassava,401000.0,2969000.0,7404.0,FAOSTAT
1984,Groundnuts,148000.0,102000.0,689.2,FAOSTAT
1984,Maize,347000.0,338000.0,974.1,FAOSTAT
1984,Rice,17000.0,20000.0,1176.5,FAOSTAT
1985,Beans (dry),334442.0,266815.0,797.8,FAOSTAT
1985,Cassava,299769.0,2699565.0,9005.5,FAOSTAT
1985,Groundnuts,137000.0,93000.0,678.8,FAOSTAT
1985,Maize,288614.0,354000.0,1226.6,FAOSTAT
1985,Rice,14000.0,19000.0,1357.1,FAOSTAT
1986,Beans (dry),396878.0,267093.0,673.0,FAOSTAT
1986,Cassava,361724.0,2900000.0,8017.2,FAOSTAT
1986,Groundnuts,177000.0,118000.0,666.7,FAOSTAT
1986,Maize,321953.0,322000.0,1000.1,FAOSTAT
1986,Rice,19000.0,21000.0,1105.3,FAOSTAT
1987,Beans (dry),373000.0,299000.0,801.6,FAOSTAT
1987,Cassava,345000.0,3101000.0,8988.4,FAOSTAT
1987,Groundnuts,148000.0,122000.0,824.3,FAOSTAT
1987,Maize,307000.0,357000.0,1162.9,FAOSTAT
1987,Rice,16000.0,20000.0,1250.0,FAOSTAT
1988,Beans (dry),445000.0,338000.0,759.6,FAOSTAT
1988,Cassava,361000.0,3271000.0,9060.9,FAOSTAT
1988,Groundnuts,179000.0,134000.0,748.6,FAOSTAT
1988,Maize,345000.0,440000.0,1275.4,FAOSTAT
1988,Rice,17000.0,23000.0,1352.9,FAOSTAT
1989,Beans (dry),480500.0,388816.0,809.2,FAOSTAT
1989,Cassava,392096.0,3568376.0,9100.8,FAOSTAT
1989,Groundnuts,189377.0,145823.0,770.0,FAOSTAT
1989,Maize,430064.0,623585.0,1450.0,FAOSTAT
1989,Rice,32000.0,45000.0,1406.3,FAOSTAT
1990,Beans (dry),494915.0,396000.0,800.1,FAOSTAT
1990,Cassava,412000.0,3420000.0,8301.0,FAOSTAT
1990,Groundnuts,186000.0,158000.0,849.5,FAOSTAT
1990,Maize,401000.0,602000.0,1501.2,FAOSTAT
1990,Rice,39000.0,54000.0,1384.6,FAOSTAT
1991,Beans (dry),509762.0,383000.0,751.3,FAOSTAT
1991,Cassava,389000.0,3229000.0,8300.8,FAOSTAT
1991,Groundnuts,180000.0,144000.0,800.0,FAOSTAT
1991,Maize,420000.0,567000.0,1350.0,FAOSTAT
1991,Rice,45000.0,61000.0,1355.6,FAOSTAT
1992,Beans (dry),536000.0,402000.0,750.0,FAOSTAT
1992,Cassava,362000.0,2896000.0,8000.0,FAOSTAT
1992,Groundnuts,184000.0,147000.0,798.9,FAOSTAT
1992,Maize,438000.0,657000.0,1500.0,FAOSTAT
